property_name,property_type,address,city,county,state,zip,phone,email,website_url,management_company,management_company_phone,housing_authority_or_agency,source_urls,source_quality,bedroom_sizes,unit_count,population_served,program_type,rent_type,exact_published_rent_by_bedroom,exact_published_rent_by_income_bracket,income_limits_by_household_size,AMI_brackets_supported,application_fee,deposit,utilities_included,pet_policy,criminal_background_policy,credit_policy,eviction_policy,minimum_income_requirement,maximum_income_requirement,required_documents,application_method,application_url,waitlist_status,vacancy_status,last_updated_date_from_source,vacancy_likelihood_score,vacancy_likelihood_reason,phone_verification_needed,notes,confidence_score,distance_miles_to_target_area
Lake North Apts II,USDA RD,36 Fair Market Rent - Lake County,Lady Lake,Lake County,FL,,,hjones@eustishousingauthority.com,https://affordablehousinghub.org/housing/florida/lake-county/lady-lake/lake-north-apts-ii-2268-lihtc,,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousinghub.org/housing/florida/lake-county/lady-lake/lake-north-apts-ii-2268-lihtc; https://affordablehousinghub.org/housing/florida/lake-county/lady-lake,HUD/USDA/FHFC,"1 Bedroom, 2 Bedroom, 3 Bedroom, 4 Bedroom",36,general low-income,USDA RD 515,max LIHTC rent,$1558; $1638; $1857; $2362; $2849,Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,open,available_now,"June 19, 2026",4,Source indicates units are available now.,True,Listed on USDA Rural Development Lake County property list.,72,0.0
Lakewood Villas,USDA RD,306 S. Old Dixie Hwy Lady Lake,Lady Lake,Lake County,FL,,(352) 753-1006,program.intake@usda.gov,http://lakewoodvillasladylake.com,"Dimension One Management, Inc This institution is an equal opportunity provider",,,"https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; http://lakewoodvillasladylake.com; http://lakewoodvillasladylake.com/; https://affordablehousinghub.org/housing/florida/lake-county/lady-lake/lakewood-villas-of-lady-lake-2225-lihtc; https://affordablehousingonline.com/housing-search/Florida/Lady-Lake/Lakewood-Villas-of-Lady-Lake,-Ltd/10026307",HUD/USDA/FHFC,"1 Bedroom, 2 Bedroom, 3 Bedroom, 4 Bedroom",96,senior,USDA RD 515,max LIHTC rent,"$761.00 - $916.00; $828.00 - $1,014.00",Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published pet-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,Published credit-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,open,waitlist_only,"June 19, 2026",3,Source indicates the property is accepting applications or has an open waitlist.,True,"Listed on USDA Rural Development Lake County property list. | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Pet-friendly apartments, Affordable apartments, Senior Living apartments, Handicap Accessible apartments in Lady Lake, FL | Lakewood Villas Toggle navigation Overview Amenities Floorplans Property Photos Areamap Lakewood Villas 306 S. Old Dixie Hwy Lady Lake, FL 32159 (352) 753-1006 Request Rental Application Directions Brochure Office Address Office TDD Phone: 711 Lakewood Villas offers affordable housing for low income seniors aged 62+ and disabled or handicapped households, regardless of age. The property features one and two bedroom units with a stove, refrigerator, central heat and air, carpeting, and mini blinds. Residents enjoy the convenience of an on-site laundry facility. The commu | , Handicap Accessible apartments in Lady Lake, FL | Lakewood Villas Toggle navigation Overview Amenities Floorplans Property Photos Areamap Lakewood Villas 306 S. Old Dixie Hwy Lady Lake, FL 32159 (352) 753-1006 Request Rental Application Directions Brochure Office Address Office TDD Phone: 711 Lakewood Villas offers affordable housing for low income seniors aged 62+ and disabled or handicapped households, regardless of age. The propert | mmunity Room with Kitchen Experienced Management Gazebo Near to Shopping On-Site Maintenance Floor Plans One Bedroom Flat Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bat | Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Fl | ual to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Flat 2 1 785 $828.00 - $1,014.00 Equal to one month's rent Lease Terms We offer a twelve-month lease. Pet Policy Pets are allowed with a $200 pet deposit. Approved service animals are welcome. Income Qua | cap Accessible apartments in Lady Lake, FL | Lakewood Villas Toggle navigation Overview Amenities Floorplans Property Photos Areamap Lakewood Villas 306 S. Old Dixie Hwy Lady Lake, FL 32159 (352) 753-1006 Request Rental Application Directions Brochure Office Address Office TDD Phone: 711 Lakewood Villas offers affordable housing for low income seniors aged 62+ and disabled or handicapped households, regardless of age. The property featu | tion and bear all risk for inaccuracies. Pricing and terms are subject to change. Toggle navigation Dimension One Management, Inc. - Lakewood Villas Lakewood Villas Contact Email Property Manager Website Feedback Rental Application Request Rental Application Brochure View Email Brochure Print Property Brochure Request Information View Brochure Email Brochure Print Property Brochure Driving Directions Request Information Print Property B | inaccuracies. Pricing and terms are subject to change. Toggle navigation Dimension One Management, Inc. - Lakewood Villas Lakewood Villas Contact Email Property Manager Website Feedback Rental Application Request Rental Application Brochure View Email Brochure Print Property Brochure Request Information View Brochure Email Brochure Print Property Brochure Driving Directions Request Information Print Property Brochure Email Brochure Driv | mily/parental status, income derived from a public assistance program, political beliefs, or reprisal or retaliation for prior civil rights activity, in any program or activity conducted or funded by USDA (not all bases apply to all programs). Remedies and complaint filing deadlines vary by program or incident. Persons with disabilities who require alternative means of communication for program information (e.g., Braille, large print, a | ing Community Laundry Room Community Room with Kitchen Experienced Management Gazebo Near to Shopping On-Site Maintenance Floor Plans One Bedroom Flat Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schoo | Floor Plans One Bedroom Flat Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to on | 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Flat 2 1 785 $828.00 - $1,014.00 Equal to one month's rent Lease Terms We offer a twelve-month lease. Pet Policy Pets are allowed w | room Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Flat 2 1 785 $828.00 - $1,014.00 Equal to one month's rent Lease Terms We offer a twelve-month lease. Pet Policy Pets are allowed with a $200 pet deposit. Approved service animals are welcome. Income Qualifications Note: Annual adjusted income cannot exceed the moderate income level as set by Rural Development. The maximum allowable income is subject to change. El | usda, rural development, senior, elderly, disabled",94,0.0
Lakewood Villas,Unknown,2345 South Street Leesburg,Leesburg,Lake County,FL,,(727) 449-1182,lakewood@flynnmanagement.com,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Lakewood-Villas/6710,"Flynn Management Corporation, Licensed Real Estate Broker",,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://flynnmanagement.com/lakewood/; https://affordablehousingonline.com/housing-search/Florida/Leesburg/Lakewood-Villas/6710; https://affordablehousinghub.org/housing/florida/lake-county/lady-lake/lakewood-villas-of-lady-lake-2225-lihtc,HUD/USDA/FHFC,"2 Beds, 2 bedroom",96,disabled,Unknown,max LIHTC rent,$1558; $1638; $1857; $2362; $2849,Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published credit-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,open,waitlist_only,"June 19, 2026",3,Source indicates the property is accepting applications or has an open waitlist.,True,Lakewood Villas | Leesburg,94,0.0
Misty Wood Apartments,Unknown,205 Jumper Dr N,Bushnell,Sumter County,FL,33513,(352) 793-8211,mistywoods@flynnmanagement.com,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources,private/corporate owners or nonprofits,,Sumter County Housing,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018; https://sumtercountyfl.gov/246/Rental-Assistance-Resources; https://affordablehousinghub.org/housing/florida/sumter-county/bushnell/misty-woods-2356-lihtc; https://affordablehousingonline.com/housing-search/Florida/Bushnell/Misty-Woods-Apartments/6252; https://flynnmanagement.com/misty,government,"1 Bedroom, 2 Bedroom, 3 Bedroom, 4 Bedroom, 1-bedroom, 2-bedroom",42,general low-income,Unknown affordable rental,max LIHTC rent,$945; $951; $1250; $1572; $1665,Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published pet-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,Published credit-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,open,waitlist_only,"June 19, 2026",3,Source indicates the property is accepting applications or has an open waitlist.,True,Sumter County rental assistance provider lead. | Misty Wood Apartments - 352-793-8211,93,5.7
Lake North Apts LTD,USDA RD,36 Fair Market Rent - Lake County,Lady Lake,Lake County,FL,,,hjones@eustishousingauthority.com,https://affordablehousinghub.org/housing/florida/lake-county/lady-lake/lake-north-apts-ii-2268-lihtc,,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousinghub.org/housing/florida/lake-county/lady-lake/lake-north-apts-ii-2268-lihtc,HUD/USDA/FHFC,"1 Bedroom, 2 Bedroom, 3 Bedroom, 4 Bedroom",36,general low-income,USDA RD 515,max LIHTC rent,$1558; $1638; $1857; $2362; $2849,Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,open,waitlist_only,"June 19, 2026",3,Source indicates the property is accepting applications or has an open waitlist.,True,Listed on USDA Rural Development Lake County property list.,72,0.0
Wildwood Terrace,Unknown,500 Gilliam St,Wildwood,Sumter County,FL,34785,(352) 748-0013,LowIncomeSupport@gmail.com,https://affordablehousinghub.org/housing/florida/sumter/wildwood/wildwood-terrace-2298-lihtc,oversees the day-to-day management and maintenance of the community,,Sumter County Housing,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018; https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=119&st=12; https://sumtercountyfl.gov/246/Rental-Assistance-Resources; https://affordablehousinghub.org/housing/florida/sumter/wildwood/wildwood-terrace-2298-lihtc; https://www.lowincomehousing.us/FL/wildwood.html,government,"1 Bedroom, 2 Bedroom, 3 Bedroom, 4 Bedroom",104,general low-income,Unknown affordable rental,max LIHTC rent,$945; $951; $1250; $1572; $1665,Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published credit-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,open,waitlist_only,"June 19, 2026",3,Source indicates the property is accepting applications or has an open waitlist.,True,Listed by Sumter County as rental assistance provider and in county multifamily inventory. | Wildwood Terrace | Wildwood | Wildwood Terrace | Wildwood | Wildwood Terrace | Wildwood | Wildwood Terrace | Wildwood | Wildwood Terrace | Wildwood | Wildwood Terrace - 352-748-0013,71,0.0
Orangewood Villas,Unknown,220 E Collins St,Umatilla,Lake County,FL,,(352) 669-0009,hjones@eustishousingauthority.com,https://affordablehousingonline.com/housing-search/Florida/Umatilla/Orangewood-Villas/10026157,private/corporate owners or nonprofits,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://affordablehousingonline.com/housing-search/Florida/Umatilla/Orangewood-Villas/10026157; https://affordablehousinghub.org/housing/florida/lake-county/umatilla/orangewood-villas-2350-lihtc; https://www.lowincomehousing.us/FL/umatilla.html,HUD/USDA/FHFC,"1 Bedroom, 2 Bedroom, 3 Bedroom, 4 Bedroom",485,senior,Unknown,max LIHTC rent,$1558; $1638; $18; $1857; $2362; $2849,Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published credit-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,open,waitlist_only,"June 19, 2026",3,Source indicates the property is accepting applications or has an open waitlist.,True,Orangewood Villas | Umatilla,64,
Panasoffkee Family Apartments,Family,910 CR 482N,Lake Panasoffkee,Sumter County,FL,33538,(352) 793-2288,LowIncomeSupport@gmail.com,https://www.uslowcosthousing.com/foreclosure-housing/fl/lady_lake/fl-lady_lake-panasoffkee-family-apartments/,,,Sumter County Housing,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.sumtercountyfl.gov/DocumentCenter/View/29964/Sumter-County-Multifamily-Analysis-Final-Version-06202018; https://sumtercountyfl.gov/246/Rental-Assistance-Resources; https://www.lowincomehousing.us/FL/lake_panasoffkee.html; https://www.lowincomehousing.us/FL/sumterville.html; https://www.uslowcosthousing.com/foreclosure-housing/fl/lady_lake/fl-lady_lake-panasoffkee-family-apartments/; https://www.uslowcosthousing.com/foreclosure-housing/fl/sanford/fl-sanford-overlook-at-monroe-apartments/; https://www.lowincomehousing.us/FL/center_hill.html,government,"1 bedroom, 2 bedroom, 3 bedroom",,senior,Unknown affordable rental,income-based,"$48,400; $88,300; $59,500",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Published credit-related language found; property verification recommended.,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,County multifamily inventory indicates family-focused property at same site as senior apartments. | Lake Panasoffkee Apartments - 352-793-2288,87,0.0
Lakeview Villas LTD,Unknown,200 12th St Clermont,Clermont,Lake County,FL,,1 (352) 394-2896,,,,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://www.publichousing.com/city/fl-clermont,HUD/USDA/FHFC,1 bedroom,,senior,Unknown,unknown,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,Lakeview Villas LTD | Clermont,84,
Mirror Lake Manor,USDA RD,301 East Mirror Lk Fruitland Park,Fruitland Park,Lake County,FL,,1 352-728-4208,,,,,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12; https://www.publichousing.com/city/fl-fruitland_park,HUD/USDA/FHFC,,,disabled,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,NOT FOUND,NOT FOUND,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,call office,,call_required,call_required,,2,No reliable online vacancy evidence located; property verification is required.,True,Listed on USDA Rural Development Lake County property list. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr.,84,0.0
