rank,property_name,city,county,address,phone,website_url,primary_source_url,map_link,distance_husson_ave_miles,distance_desert_hills_miles,distance_gap_miles,distance_basis,directions_from_husson_ave,directions_from_desert_hills,program_type,rent_type,exact_published_rent_by_bedroom,exact_published_rent_by_income_bracket,vacancy_likelihood_score,vacancy_likelihood_reason,confidence_score,required_documents,notes
1,Mirror Lake Manor,Fruitland Park,Lake County,301 East Mirror Lk Fruitland Park,1 352-728-4208,,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=301+East+Mirror+Lk+Fruitland+Park%2C+Fruitland+Park%2C+FL,55.8,82.7,26.9,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=301+East+Mirror+Lk+Fruitland+Park%2C+Fruitland+Park%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=301+East+Mirror+Lk+Fruitland+Park%2C+Fruitland+Park%2C+FL&travelmode=driving,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,2,No reliable online vacancy evidence located; property verification is required.,84,NOT FOUND / NEEDS CALL,Listed on USDA Rural Development Lake County property list. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr. | Mirror Lake Manor | Fruitland Park Dr.
2,Panasoffkee Family Apartments,Lake Panasoffkee,Sumter County,910 CR 482N,(352) 793-2288,https://www.uslowcosthousing.com/foreclosure-housing/fl/lady_lake/fl-lady_lake-panasoffkee-family-apartments/,https://www.sumtercountyfl.gov/246/Rental-Assistance-Resources,https://www.google.com/maps/search/?api=1&query=910+CR+482N%2C+Lake+Panasoffkee%2C+FL,65.2,74.6,9.4,city fallback,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=Lake+Panasoffkee%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=Lake+Panasoffkee%2C+FL&travelmode=driving,Unknown affordable rental,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,2,No reliable online vacancy evidence located; property verification is required.,83,NOT FOUND / NEEDS CALL,County multifamily inventory indicates family-focused property at same site as senior apartments. | Lake Panasoffkee Apartments - 352-793-2288
3,Fruitland Acres LTD,Fruitland Park,Lake County,303 Urick St,(352) 323-3303,https://affordablehousingonline.com/housing-search/Florida/Fruitland-Park/Fruitland-Acres-Ltd/10026305,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=303+Urick+St%2C+Fruitland+Park%2C+FL,56.4,82.1,25.7,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=303+Urick+St%2C+Fruitland+Park%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=303+Urick+St%2C+Fruitland+Park%2C+FL&travelmode=driving,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,1,"Listing exists, but availability information is stale or unclear.",62,NOT FOUND / NEEDS CALL,Listed on USDA Rural Development Lake County property list.
4,Montclair Village,Leesburg,Lake County,2000 Park Cir,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Montclair-Village/10103948,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=2000+Park+Cir%2C+Leesburg%2C+FL,58.0,80.6,22.6,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=2000+Park+Cir%2C+Leesburg%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=2000+Park+Cir%2C+Leesburg%2C+FL&travelmode=driving,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,1,"Listing exists, but availability information is stale or unclear.",62,NOT FOUND / NEEDS CALL,Listed on USDA Rural Development Lake County property list.
5,Palm Brook Apts LTD,Leesburg,Lake County,37 Brook Cir,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Palm-Brook-Apts-Ltd/10103487,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=37+Brook+Cir%2C+Leesburg%2C+FL,57.5,81.5,24.0,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=37+Brook+Cir%2C+Leesburg%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=37+Brook+Cir%2C+Leesburg%2C+FL&travelmode=driving,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,1,"Listing exists, but availability information is stale or unclear.",62,NOT FOUND / NEEDS CALL,Listed on USDA Rural Development Lake County property list.
6,Pepper Tree Apts,Leesburg,Lake County,2503 South Street,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Pepper-Tree-Apts/10103485,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=2503+South+Street%2C+Leesburg%2C+FL,59.3,79.3,20.0,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=2503+South+Street%2C+Leesburg%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=2503+South+Street%2C+Leesburg%2C+FL&travelmode=driving,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,1,"Listing exists, but availability information is stale or unclear.",62,NOT FOUND / NEEDS CALL,Listed on USDA Rural Development Lake County property list.
7,Pepper Tree Apts II,Leesburg,Lake County,2503 South Street,,https://affordablehousingonline.com/housing-search/Florida/Leesburg/Pepper-Tree-Apts-II/10104710,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=2503+South+Street%2C+Leesburg%2C+FL,59.3,79.3,20.0,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=2503+South+Street%2C+Leesburg%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=2503+South+Street%2C+Leesburg%2C+FL&travelmode=driving,USDA RD 515,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,1,"Listing exists, but availability information is stale or unclear.",62,NOT FOUND / NEEDS CALL,Listed on USDA Rural Development Lake County property list.
8,Turtle Oaks Apartments,Leesburg,Lake County,2311 Griffin Rd Leesburg,352.787.1990,https://publichousing.com/details/turtle_oaks_apartments,https://publichousing.com/details/turtle_oaks_apartments,https://www.google.com/maps/search/?api=1&query=2311+Griffin+Rd+Leesburg%2C+Leesburg%2C+FL,57.5,81.1,23.6,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=2311+Griffin+Rd+Leesburg%2C+Leesburg%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=2311+Griffin+Rd+Leesburg%2C+Leesburg%2C+FL&travelmode=driving,Unknown,income-based,NOT FOUND,Likely based on adjusted income; exact tenant rent requires application/property verification.,1,"Listing exists, but availability information is stale or unclear.",10,government-issued ID; Social Security card; proof of income; bank statements; tax returns,"Turtle Oaks Apartments - Low Income Apartments in Leesburg, FL Home Add a Listing About Navigation Home Add a Listing About Quick Search: Select a State Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware District of Columbia Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington West Virginia Wisconsin Wyoming Search Find An Apartment Turtle Oaks Apartments Leesbu | s 2311 Griffin Rd Leesburg, FL - 34748 352.787.1990 See ALL Leesburg Low Income Housing Apartments ALL LEESBURG Listings Turtle Oaks Apartments is a HUD Apartment. HUD residents usually pay 30% of their gross income for rent. The rent amount, less approved HUD deductions such as medical and child care expenses, and other allowances, includes a utility allowance. HUD Residents also may choose to pay what is known as flat rent. The HACC w | ffin Rd Leesburg, FL - 34748 352.787.1990 See ALL Leesburg Low Income Housing Apartments ALL LEESBURG Listings Turtle Oaks Apartments is a HUD Apartment. HUD residents usually pay 30% of their gross income for rent. The rent amount, less approved HUD deductions such as medical and child care expenses, and other allowances, includes a utility allowance. HUD Residents also may choose to pay what is known as flat rent. The HACC works with | ross income for rent. The rent amount, less approved HUD deductions such as medical and child care expenses, and other allowances, includes a utility allowance. HUD Residents also may choose to pay what is known as flat rent. The HACC works with applicants to determine which rent arrangement is best for them. Median apartment rental rate in this zip code: $911 Population in zip code: 39,977 Media age of those living in this zip code: 59 | deductions such as medical and child care expenses, and other allowances, includes a utility allowance. HUD Residents also may choose to pay what is known as flat rent. The HACC works with applicants to determine which rent arrangement is best for them. Median apartment rental rate in this zip code: $911 Population in zip code: 39,977 Media age of those living in this zip code: 59.6 Media household income of those living in this zip co | ments is a Family low income housing apartment subsidized by the federal governments HUD (Housing and Urban Development Division). Contact Turtle Oaks Apartments for complete details on the current vacancies and housing applications. Tips Before Applying for Low Income Housing 1. Research all of the different low-income housing programs available in your area. There are a variety of federal, state, and local programs that offer low-inco | the different low-income housing programs available in your area. There are a variety of federal, state, and local programs that offer low-income housing assistance. Each program has its own eligibility requirements and application process, so it is important to do your research to find the program that is right for you. 2. Get all of your documentation in order: When you apply for low income housing, you will need to provide documentat | household composition. This documentation may include tax returns, pay stubs, bank statements, and birth certificates. 3. Be careful and accurate on all information provided: Any false or misleading information on your application will most likely result in your disqualification. 4. Waiting Lists: The waiting lists for most, if not all low-income housing programs is long. Do not limit yourself to only apply to one apartment location. Q | me housing apartment subsidized by the federal governments HUD (Housing and Urban Development Division). Contact Turtle Oaks Apartments for complete details on the current vacancies and housing applications. Tips Before Applying for Low Income Housing 1. Research all of the different low-income housing programs available in your area. There are a variety of federal, state, and local programs that offer low-income housing assistance. Eac | s, pay stubs, bank statements, and birth certificates. 3. Be careful and accurate on all information provided: Any false or misleading information on your application will most likely result in your disqualification. 4. Waiting Lists: The waiting lists for most, if not all low-income housing programs is long. Do not limit yourself to only apply to one apartment location. Qualifications: Do you qualify to live here? To qualify for low in | statements, and birth certificates. 3. Be careful and accurate on all information provided: Any false or misleading information on your application will most likely result in your disqualification. 4. Waiting Lists: The waiting lists for most, if not all low-income housing programs is long. Do not limit yourself to only apply to one apartment location. Qualifications: Do you qualify to live here? To qualify for low income housing in Flo | Help PublicHousing.com users find out answers. We publish all Helpful information. If you know the apartment costs, let us know. Answer Are these apartments low income, sliding scale income based? Answer Do you know any waiting list details? Let us know.. Answer Friday, March 3, 2023 User Response: I been on the list for about two years now and because I donâ€™t have kids they seem to keep skipping over me, so hey, try, your luck. Are t | ome requirements: Your household income must be below 80% of the area median income (AMI). The AMI is updated annually by the Department of Housing and Urban Development (HUD) and varies by county. You must have a valid Social Security number or Individual Taxpayer Identification Number (ITIN). You must be a U.S. citizen or a legal immigrant. In addition to the income requirements, you may also need to meet other eligibility requirement | tion in order: When you apply for low income housing, you will need to provide documentation of your income, assets, and household composition. This documentation may include tax returns, pay stubs, bank statements, and birth certificates. 3. Be careful and accurate on all information provided: Any false or misleading information on your application will most likely result in your disqualification. 4. Waiting Lists: The waiting lists fo | section 8, public housing, hud, income based"
9,Lake North Apts II,Lady Lake,Lake County,36 Fair Market Rent - Lake County,,https://affordablehousinghub.org/housing/florida/lake-county/lady-lake/lake-north-apts-ii-2268-lihtc,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=36+Fair+Market+Rent+-+Lake+County%2C+Lady+Lake%2C+FL,52.0,86.5,34.5,city fallback,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=Lady+Lake%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=Lady+Lake%2C+FL&travelmode=driving,USDA RD 515,max LIHTC rent,NOT FOUND,NOT FOUND,4,Source indicates units are available now.,68,NOT FOUND / NEEDS CALL,Listed on USDA Rural Development Lake County property list.
10,Lakewood Villas,Lady Lake,Lake County,306 S. Old Dixie Hwy Lady Lake,(352) 753-1006,http://lakewoodvillasladylake.com,https://rdmfhrentals.sc.egov.usda.gov/RDMFHRentals/projectservlet?cnty=069&st=12,https://www.google.com/maps/search/?api=1&query=306+S.+Old+Dixie+Hwy+Lady+Lake%2C+Lady+Lake%2C+FL,52.3,86.2,33.9,exact address,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=306+S.+Old+Dixie+Hwy+Lady+Lake%2C+Lady+Lake%2C+FL&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=306+S.+Old+Dixie+Hwy+Lady+Lake%2C+Lady+Lake%2C+FL&travelmode=driving,USDA RD 515,max LIHTC rent,"$761.00 - $916.00; $828.00 - $1,014.00",Published amounts appear to be maximum restricted LIHTC rents; confirm actual tenant rent with property.,3,Source indicates the property is accepting applications or has an open waitlist.,94,NOT FOUND / NEEDS CALL,"Listed on USDA Rural Development Lake County property list. | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Lakewood Villas | Lady Lake | Pet-friendly apartments, Affordable apartments, Senior Living apartments, Handicap Accessible apartments in Lady Lake, FL | Lakewood Villas Toggle navigation Overview Amenities Floorplans Property Photos Areamap Lakewood Villas 306 S. Old Dixie Hwy Lady Lake, FL 32159 (352) 753-1006 Request Rental Application Directions Brochure Office Address Office TDD Phone: 711 Lakewood Villas offers affordable housing for low income seniors aged 62+ and disabled or handicapped households, regardless of age. The property features one and two bedroom units with a stove, refrigerator, central heat and air, carpeting, and mini blinds. Residents enjoy the convenience of an on-site laundry facility. The commu | , Handicap Accessible apartments in Lady Lake, FL | Lakewood Villas Toggle navigation Overview Amenities Floorplans Property Photos Areamap Lakewood Villas 306 S. Old Dixie Hwy Lady Lake, FL 32159 (352) 753-1006 Request Rental Application Directions Brochure Office Address Office TDD Phone: 711 Lakewood Villas offers affordable housing for low income seniors aged 62+ and disabled or handicapped households, regardless of age. The propert | mmunity Room with Kitchen Experienced Management Gazebo Near to Shopping On-Site Maintenance Floor Plans One Bedroom Flat Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bat | Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Fl | ual to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Flat 2 1 785 $828.00 - $1,014.00 Equal to one month's rent Lease Terms We offer a twelve-month lease. Pet Policy Pets are allowed with a $200 pet deposit. Approved service animals are welcome. Income Qua | cap Accessible apartments in Lady Lake, FL | Lakewood Villas Toggle navigation Overview Amenities Floorplans Property Photos Areamap Lakewood Villas 306 S. Old Dixie Hwy Lady Lake, FL 32159 (352) 753-1006 Request Rental Application Directions Brochure Office Address Office TDD Phone: 711 Lakewood Villas offers affordable housing for low income seniors aged 62+ and disabled or handicapped households, regardless of age. The property featu | tion and bear all risk for inaccuracies. Pricing and terms are subject to change. Toggle navigation Dimension One Management, Inc. - Lakewood Villas Lakewood Villas Contact Email Property Manager Website Feedback Rental Application Request Rental Application Brochure View Email Brochure Print Property Brochure Request Information View Brochure Email Brochure Print Property Brochure Driving Directions Request Information Print Property B | inaccuracies. Pricing and terms are subject to change. Toggle navigation Dimension One Management, Inc. - Lakewood Villas Lakewood Villas Contact Email Property Manager Website Feedback Rental Application Request Rental Application Brochure View Email Brochure Print Property Brochure Request Information View Brochure Email Brochure Print Property Brochure Driving Directions Request Information Print Property Brochure Email Brochure Driv | mily/parental status, income derived from a public assistance program, political beliefs, or reprisal or retaliation for prior civil rights activity, in any program or activity conducted or funded by USDA (not all bases apply to all programs). Remedies and complaint filing deadlines vary by program or incident. Persons with disabilities who require alternative means of communication for program information (e.g., Braille, large print, a | ing Community Laundry Room Community Room with Kitchen Experienced Management Gazebo Near to Shopping On-Site Maintenance Floor Plans One Bedroom Flat Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schoo | Floor Plans One Bedroom Flat Bedrooms 1 Bath 1 Size (sq ft) 610 Price Per Month $761.00 - $916.00 Deposit Equal to one month's rent Two Bedroom Flat Bedrooms 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to on | 2 Bath 1 Size (sq ft) 785 Price Per Month $828.00 - $1,014.00 Deposit Equal to one month's rent Previous Floorplan Next Floorplan Property Photos Area Map Schools What's Nearby Bedrooms Bath Size (sq ft) Price Per Month Deposit One Bedroom Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Flat 2 1 785 $828.00 - $1,014.00 Equal to one month's rent Lease Terms We offer a twelve-month lease. Pet Policy Pets are allowed w | room Flat 1 1 610 $761.00 - $916.00 Equal to one month's rent Two Bedroom Flat 2 1 785 $828.00 - $1,014.00 Equal to one month's rent Lease Terms We offer a twelve-month lease. Pet Policy Pets are allowed with a $200 pet deposit. Approved service animals are welcome. Income Qualifications Note: Annual adjusted income cannot exceed the moderate income level as set by Rural Development. The maximum allowable income is subject to change. El | usda, rural development, senior, elderly, disabled"
